episode,score,steps,total_steps,exploration,mean_loss,elapsed_seconds,terminated,truncated
79,610.0,535,47233,0.25,0.061611350111440935,130.8840957499924,True,False
80,420.0,434,47667,0.25,0.05782610080549838,132.1247247499996,True,False
81,710.0,720,48387,0.25,0.06769862378843956,134.15517337499477,True,False
82,740.0,927,49314,0.25,0.07033255886174096,136.76697554098791,True,False
83,350.0,436,49750,0.25,0.07647182378029331,138.00986345799174,True,False
84,960.0,955,50705,0.25,0.07247622239804792,140.6947210829967,True,False
85,440.0,540,51245,0.25,0.07182360767490334,142.21810499999265,True,False
86,340.0,423,51668,0.25,0.06948739397427384,143.43047491599282,True,False
87,310.0,366,52034,0.25,0.07381160478465833,144.47907249999116,True,False
88,500.0,651,52685,0.25,0.060020446074566594,146.31812341600016,True,False
89,1510.0,679,53364,0.25,0.061638274016406605,148.234372040999,True,False
90,320.0,403,53767,0.25,0.05950412297621369,149.3804196659912,True,False
91,290.0,478,54245,0.25,0.0667578194833671,150.73850195799605,True,False
92,700.0,661,54906,0.25,0.06720555200043953,152.6025069999887,True,False
93,380.0,408,55314,0.25,0.07231575097231303,153.7688472079899,True,False
94,450.0,515,55829,0.25,0.06215470620654812,155.2319401249988,True,False
95,300.0,430,56259,0.25,0.07522163932673007,156.4522949999955,True,False
96,510.0,591,56850,0.25,0.06956662406289094,158.13729408298968,True,False
97,840.0,745,57595,0.25,0.074909214839159,160.24363987499964,True,False
98,470.0,458,58053,0.25,0.06726434252670278,161.5621032909985,True,False
99,300.0,349,58402,0.25,0.07461999121239815,162.5649539159931,True,False
100,480.0,583,58985,0.25,0.08585199468118483,164.21265229099663,True,False
101,550.0,621,59606,0.25,0.07884922037802396,166.90835754098953,True,False
102,420.0,469,60075,0.25,0.07549210724572086,168.24360866598727,True,False
103,650.0,712,60787,0.25,0.06949184029729347,170.2568707499886,True,False
104,330.0,374,61161,0.25,0.07698433384537062,171.33431991598627,True,False
105,460.0,520,61681,0.25,0.06680863353495414,172.81830695799727,True,False
106,700.0,655,62336,0.25,0.060755756320204676,174.66459999998915,True,False
107,560.0,651,62987,0.25,0.08485386773575972,176.49449891599943,True,False
108,1000.0,756,63743,0.25,0.08332191593698644,178.66817504099163,True,False
109,490.0,473,64216,0.25,0.07807732899399365,180.14828608300013,True,False
110,530.0,524,64740,0.25,0.0862000894853632,181.72718341599102,True,False
111,1270.0,985,65725,0.25,0.0761848524500563,184.6298878749949,True,False
112,470.0,468,66193,0.25,0.07096298479944722,186.03269766599988,True,False
113,710.0,611,66804,0.25,0.08406837274825651,187.80700375000015,True,False
114,430.0,457,67261,0.25,0.08146964065861284,189.11443154099106,True,False
115,870.0,792,68053,0.25,0.08320494074694286,191.36002649999864,True,False
116,1620.0,799,68852,0.25,0.08031533521600068,193.6210793749924,True,False
117,2400.0,955,69807,0.25,0.07608924765421562,196.3038210409868,True,False
118,790.0,791,70598,0.25,0.07665442837628,198.55496749999293,True,False
119,670.0,665,71263,0.25,0.0771257313170347,200.4431759579893,True,False
120,470.0,460,71723,0.25,0.07613240088457647,201.75535908299207,True,False
121,700.0,616,72339,0.25,0.08906206260011955,203.50740920798853,True,False
122,290.0,415,72754,0.25,0.08355229733010325,204.6984967909957,True,False
123,1220.0,754,73508,0.25,0.08419278108332523,206.83880754098936,True,False
124,1480.0,1088,74596,0.25,0.08707370236858397,209.90864795800007,True,False
125,570.0,697,75293,0.25,0.08592305164355998,211.894671749993,True,False
126,360.0,421,75714,0.25,0.10044286412497362,213.7475259579951,True,False
127,610.0,645,76359,0.25,0.10061167210618162,215.5784674579918,True,False
128,740.0,545,76904,0.25,0.09284693630833696,217.14207933298894,True,False
129,2150.0,1040,77944,0.25,0.09107062256393525,220.07651854099822,True,False
130,1470.0,797,78741,0.25,0.08389193745769898,222.3301146249869,True,False
131,400.0,568,79309,0.25,0.09109842367994954,223.98034583299886,True,False
132,1620.0,894,80203,0.25,0.09183620704930993,226.50254274999315,True,False
133,770.0,814,81017,0.25,0.09332900803408348,228.80362237499503,True,False
134,770.0,687,81704,0.25,0.09568475917804727,230.7412059999915,True,False
135,970.0,601,82305,0.25,0.08117248987158139,232.45968316598737,True,False
136,230.0,378,82683,0.25,0.11841478785301776,233.55159983299382,True,False
137,1050.0,790,83473,0.25,0.08916818281880232,235.79473724999116,True,False
138,400.0,512,83985,0.25,0.09349935517820995,237.260763415994,True,False
139,520.0,620,84605,0.25,0.08662041471369805,239.02831208299904,True,False
140,300.0,316,84921,0.25,0.09233461808460423,239.99405562499305,True,False
141,1280.0,983,85904,0.25,0.0992182125526715,242.85406716598663,True,False
142,1310.0,890,86794,0.25,0.08669114762682233,245.5232116249972,True,False
143,1210.0,850,87644,0.25,0.08915082903954905,247.98948633299733,True,False
144,450.0,719,88363,0.25,0.10063715886803312,250.0714131249988,True,False
145,350.0,458,88821,0.25,0.07469675987149062,251.4032514159917,True,False
146,1130.0,947,89768,0.25,0.09790086211589506,254.0828734999959,True,False
147,840.0,633,90401,0.25,0.09804359832896462,255.89665779098868,True,False
148,1310.0,633,91034,0.25,0.10339648320775809,257.68863362498814,True,False
149,360.0,407,91441,0.25,0.08225510126965888,258.88066174999403,True,False
150,510.0,645,92086,0.25,0.07297376841190995,260.69108358299127,True,False
151,360.0,508,92594,0.25,0.09357840260564107,262.81892312499986,True,False
152,530.0,625,93219,0.25,0.08922623714002278,264.5903137909918,True,False
153,450.0,543,93762,0.25,0.09048779581344742,266.14058270798705,True,False
154,920.0,750,94512,0.25,0.09647812112729917,268.262368124997,True,False
155,290.0,422,94934,0.25,0.0797432848562797,269.47417183298967,True,False
156,460.0,484,95418,0.25,0.10037135475984782,270.8519716659939,True,False
157,460.0,497,95915,0.25,0.08282069858884619,272.2624410829885,True,False
158,1010.0,684,96599,0.25,0.07840442062186742,274.20731941598933,True,False
159,450.0,547,97146,0.25,0.09146401403050353,275.9683603329904,True,False
160,320.0,429,97575,0.25,0.10058175128336265,277.45398279099027,True,False
161,1140.0,853,98428,0.25,0.08614880385782535,280.2922184999916,True,False
162,260.0,513,98941,0.25,0.09791612802655436,281.84510841598967,True,False
163,430.0,489,99430,0.25,0.10696183249629179,283.30198687499797,True,False
164,1050.0,657,100087,0.25,0.10083754675849001,285.19977516599465,True,False
165,800.0,606,100693,0.25,0.09037413070664595,286.9675114999991,True,False
166,370.0,502,101195,0.25,0.0846513724476099,288.4258425829903,True,False
167,520.0,518,101713,0.25,0.0895898156799376,289.97761929099215,True,False
168,420.0,411,102124,0.25,0.08768296355689034,291.187507249997,True,False
169,690.0,601,102725,0.25,0.08988110670198997,292.9344457499974,True,False
170,330.0,373,103098,0.25,0.08340018354756858,294.02291833299387,True,False
171,1130.0,665,103763,0.25,0.09192870833338743,295.9307448329928,True,False
172,370.0,385,104148,0.25,0.0915307060997818,297.0363965409924,True,False
173,380.0,393,104541,0.25,0.10198768439265538,298.17369149999286,True,False
174,310.0,375,104916,0.25,0.08389510433288648,299.2591575409897,True,False
