episode,score,steps,total_steps,exploration,mean_loss,elapsed_seconds,terminated,truncated
184,370.0,462,109564,0.15,0.12484733114854016,387.57832870799996,True,False
185,590.0,574,110138,0.15,0.13136145034870067,389.3905558749999,True,False
186,870.0,640,110778,0.15,0.12520002535311506,391.467278792,True,False
187,380.0,507,111285,0.15,0.11301546122908122,393.135781458,True,False
188,1150.0,716,112001,0.15,0.1191514279048203,395.4418905419999,True,False
189,530.0,503,112504,0.15,0.12277933585620115,397.10094175000006,True,False
190,940.0,663,113167,0.15,0.11506887056836576,399.26847429199995,True,False
191,450.0,430,113597,0.15,0.11533131600461072,400.7174181250001,True,False
192,310.0,369,113966,0.15,0.12704525371689512,401.88430104199995,True,False
193,550.0,468,114434,0.15,0.12916538214836365,403.43075925000005,True,False
194,770.0,620,115054,0.15,0.1178127288217506,405.4620175829999,True,False
195,1140.0,755,115809,0.15,0.106194817130922,407.9557350829999,True,False
196,510.0,515,116324,0.15,0.12190951264008533,409.6852809170001,True,False
197,490.0,454,116778,0.15,0.11198855709053773,411.2465396250001,True,False
198,770.0,662,117440,0.15,0.11614192239042506,413.4749593749999,True,False
199,1280.0,547,117987,0.15,0.11730608957655289,415.54512045800004,True,False
200,320.0,390,118377,0.15,0.11100211961917122,417.0392007500001,True,False
201,1070.0,943,119320,0.15,0.10713860416248189,421.21498495799995,True,False
202,2200.0,1046,120366,0.15,0.1170100386886076,424.750575958,True,False
203,400.0,370,120736,0.15,0.13486618877098125,426.099158417,True,False
204,790.0,547,121283,0.15,0.12547739747199504,428.5132432920001,True,False
205,600.0,546,121829,0.15,0.125775990368676,430.272748708,True,False
206,820.0,686,122515,0.15,0.12881605502501217,432.81239633300004,True,False
207,510.0,464,122979,0.15,0.11187708117710106,434.31743570800006,True,False
208,500.0,449,123428,0.15,0.13028887161507016,435.95247437499995,True,False
209,490.0,491,123919,0.15,0.13131406530737877,437.643870667,True,False
210,1920.0,883,124802,0.15,0.11073703210109768,440.608678083,True,False
211,550.0,488,125290,0.15,0.1104166943839461,442.2555086670001,True,False
212,240.0,343,125633,0.15,0.11474724551446217,443.4770333329999,True,False
213,550.0,600,126233,0.15,0.14137025905152162,445.49305070799994,True,False
214,1180.0,720,126953,0.15,0.13366872495454218,447.8995114999999,True,False
215,790.0,709,127662,0.15,0.12276969070277982,450.23195858299994,True,False
216,980.0,826,128488,0.15,0.11999547570619894,452.9185745420001,True,False
217,430.0,475,128963,0.15,0.12944395158250452,454.4367215420001,True,False
218,730.0,518,129481,0.15,0.1269427129282401,456.172517417,True,False
219,550.0,536,130017,0.15,0.12879407722780953,457.9304895419999,True,False
220,530.0,589,130606,0.15,0.12738065548291821,459.8008068749999,True,False
221,570.0,702,131308,0.15,0.10658875105648556,462.063653458,True,False
222,530.0,479,131787,0.15,0.09893182555542272,463.645211917,True,False
223,470.0,610,132397,0.15,0.11856886330578062,465.68884208299994,True,False
224,540.0,566,132963,0.15,0.11629277797983893,467.5477952499999,True,False
225,760.0,696,133659,0.15,0.11525680704962933,469.86235754200004,True,False
226,430.0,435,134094,0.15,0.13552606972190764,471.99914316699994,True,False
227,400.0,468,134562,0.15,0.11398240309367833,473.56410674999995,True,False
228,630.0,619,135181,0.15,0.11350600780738938,475.68870137500005,True,False
229,310.0,494,135675,0.15,0.10096470931378322,477.333939792,True,False
230,1050.0,674,136349,0.15,0.1248672847917094,479.50942124999995,True,False
231,1740.0,933,137282,0.15,0.11592202165160057,482.5530459580001,True,False
232,1100.0,701,137983,0.15,0.11197083911725453,484.8540448330001,True,False
233,510.0,503,138486,0.15,0.13847998470541031,486.58697229200004,True,False
234,490.0,470,138956,0.15,0.12479154726143106,488.164223375,True,False
235,980.0,877,139833,0.15,0.13312244578583599,491.0365289580001,True,False
236,420.0,453,140286,0.15,0.11120297144933612,492.49898558300004,True,False
237,1020.0,995,141281,0.15,0.11755308553007951,495.8662970419999,True,False
238,550.0,523,141804,0.15,0.13923918963445506,497.5671861249999,True,False
239,690.0,533,142337,0.15,0.12423517174066458,499.3474540830001,True,False
240,600.0,515,142852,0.15,0.1404109257742647,501.076287,True,False
241,410.0,452,143304,0.15,0.10672323339808304,502.60473441700003,True,False
242,960.0,830,144134,0.15,0.129694952957944,505.27016850000007,True,False
243,690.0,598,144732,0.15,0.12321161831418673,507.259642417,True,False
244,400.0,478,145210,0.15,0.11133763954794708,508.8318901250001,True,False
245,770.0,589,145799,0.15,0.1212461028552177,510.797110333,True,False
246,880.0,755,146554,0.15,0.11334793312011887,513.239791375,True,False
247,370.0,359,146913,0.15,0.13568146497839026,514.39461275,True,False
248,430.0,512,147425,0.15,0.11697669881687034,516.065886,True,False
249,1240.0,574,147999,0.15,0.1161682477833091,517.9501650830001,True,False
250,720.0,519,148518,0.15,0.11660379690046493,519.627152292,True,False
251,1010.0,648,149166,0.15,0.13488105865034425,522.4774423330001,True,False
252,1010.0,844,150010,0.15,0.11192362601935016,525.262551375,True,False
253,340.0,415,150425,0.15,0.13136415066233334,526.600203458,True,False
254,520.0,534,150959,0.15,0.11713974614788715,528.250578583,True,False
255,710.0,578,151537,0.15,0.13093167091238087,530.1553414169999,True,False
256,1830.0,845,152382,0.15,0.12894677745081237,533.069566542,True,False
257,560.0,491,152873,0.15,0.13406456314875342,534.7487055830001,True,False
258,1050.0,689,153562,0.15,0.11374454816456797,537.007668542,True,False
259,1070.0,584,154146,0.15,0.1255725162512023,539.0604487920001,True,False
260,630.0,529,154675,0.15,0.1200952325862917,540.7909230829999,True,False
261,330.0,444,155119,0.15,0.1033576637137312,542.22070675,True,False
262,700.0,715,155834,0.15,0.12870750257839036,544.747202958,True,False
263,890.0,676,156510,0.15,0.1327870110347426,547.01595725,True,False
264,330.0,376,156886,0.15,0.13641333977315337,548.2531709579999,True,False
265,880.0,621,157507,0.15,0.12446555050630723,550.5139069580001,True,False
266,310.0,340,157847,0.15,0.11897866015925126,551.624765125,True,False
267,790.0,688,158535,0.15,0.1343941627893337,553.9773645419999,True,False
268,180.0,322,158857,0.15,0.14503938902491403,555.0965407919999,True,False
269,590.0,535,159392,0.15,0.1294356607762513,556.87971125,True,False
270,230.0,388,159780,0.15,0.1427618510176226,558.1103998330001,True,False
271,540.0,429,160209,0.15,0.13045513830104163,559.6537869580001,True,False
272,530.0,496,160705,0.15,0.1129368910596015,561.2747271669999,True,False
273,830.0,791,161496,0.15,0.11524069394841037,563.8826055420001,True,False
274,1240.0,842,162338,0.15,0.11560103344243197,566.72095075,True,False
275,360.0,461,162799,0.15,0.1323799936991671,568.2082697080001,True,False
276,290.0,392,163191,0.15,0.11921293794044427,570.1243667499999,True,False
277,580.0,542,163733,0.15,0.10052537596236695,571.842263208,True,False
278,940.0,684,164417,0.15,0.13000790951283356,574.0750232920001,True,False
279,960.0,739,165156,0.15,0.12053019637997087,576.429932958,True,False
280,360.0,373,165529,0.15,0.1523012153163392,577.6711425,True,False
281,580.0,514,166043,0.15,0.1378632984124124,579.372603375,True,False
282,310.0,395,166438,0.15,0.13908249533010852,580.629107417,True,False
